text,clean_text,sentiment,lexicon_score,primary_aspect,is_noise
I think the product quality which changes the opinion a lot and delivery too bcz some times its just a Scam not the product ,i think the product quality which changes the opinion a lot and delivery too because some times its just a scam not the product,Neutral,0,Product Quality,False
Idk,i do not know,Neutral,0,General Brand Perception,False
Reviews of the product changes my decision often ,reviews of the product changes my decision often,Neutral,0,Product Quality,False
"The main reasons are the brand’s product quality, customer reviews, social media content, and how it responds to customers",the main reasons are the brands product quality customer reviews social media content and how it responds to customers,Positive,1,Customer Service,False
The quality ,the quality,Positive,1,Product Quality,False
Yes,yes,Neutral,0,General Brand Perception,True
No,no,Neutral,0,General Brand Perception,True
The way a local brand communicates with customers and the authenticity of its content strongly influences my opinion,the way a local brand communicates with customers and the authenticity of its content strongly influences my opinion,Positive,1,Product Quality,False
"The quality of their products, customer reviews, and how they interact with customers on social media.",the quality of their products customer reviews and how they interact with customers on social media,Positive,1,Product Quality,False
"Based on customers review, and product check. ",based on customers review and product check,Neutral,0,Product Quality,False
Customer experience,customer experience,Neutral,0,Customer Service,False
Nothing else ,nothing else,Neutral,0,General Brand Perception,True
How brand handles customer service and public complaints,how brand handles customer service and public complaints,Negative,-1,Customer Service,False
Customer reviews,customer reviews,Neutral,0,Customer Service,False
None ,none,Neutral,0,General Brand Perception,True
Comments,comments,Neutral,0,General Brand Perception,True
Quick and helpful customer service ,quick and helpful customer service,Positive,2,Customer Service,False
Online reviews ,online reviews,Neutral,0,Social Proof & Reviews,False
Cash flow,cash flow,Neutral,0,General Brand Perception,True
Reviews ,reviews,Neutral,0,Social Proof & Reviews,False
positive/marketing and review ,positive marketing and review,Positive,1,Social Proof & Reviews,False
"The main reason is customer reviews and real user experiences. Positive feedback, good product quality, and quick responses create a positive opinion, while negative reviews, complaints, or poor customer service create a negative opinion about a local brand on social media.",the main reason is customer reviews and real user experiences positive feedback good product quality and quick responses create a positive opinion while negative reviews complaints or poor customer service create a negative opinion about a local brand on social media,Positive,1,Customer Service,False
"Their effectiveness, quality and reviews ",their effectiveness quality and reviews,Positive,1,Product Quality,False
Product quality shown in advertise is not same when we buy,product quality shown in advertise is not same when we buy,Negative,-1,Product Quality,False
Good product quality and how the brand treats its customers.,good product quality and how the brand treats its customers,Positive,2,Product Quality,False
Their way of response with customer,their way of response with customer,Positive,1,Customer Service,False
Service and Quality,service and quality,Positive,1,Customer Service,False
Reviews ,reviews,Neutral,0,Social Proof & Reviews,False
Offers ,offers,Neutral,0,Pricing & Value,False
Branding and trustworthyness,branding and trustworthiness,Positive,1,Social Proof & Reviews,False
the speed and empathy of its customer service responses.,the speed and empathy of its customer service responses,Positive,1,Customer Service,False
how the brand handles customer service and public interactions.,how the brand handles customer service and public interactions,Neutral,0,Customer Service,False
Reviews of customer ,reviews of customer,Neutral,0,Customer Service,False
The branding technique ,the branding technique,Neutral,0,Social Proof & Reviews,False
"Product quality,customer service, reviews on social media ",product quality customer service reviews on social media,Positive,1,Customer Service,False
"Quality, and actual experience",quality and actual experience,Positive,1,Product Quality,False
Product quality matters highly. If your product is best then without marketing everyone will purchase or else everyone is always used to search good products. ,product quality matters highly if your product is best then without marketing everyone will purchase or else everyone is always used to search good products,Positive,3,Product Quality,False
Public review,public review,Neutral,0,Social Proof & Reviews,False
Customer reviews!,customer reviews,Neutral,0,Customer Service,False
No idea,no idea,Neutral,0,General Brand Perception,True
Customer service and trust ,customer service and trust,Positive,1,Customer Service,False
When influencer makes a fake review video,when influencer makes a fake review video,Negative,-3,Social Proof & Reviews,False
Coustomer reviews ,customer reviews,Neutral,0,Customer Service,False
good,good,Positive,1,General Brand Perception,False
Customer reviews ,customer reviews,Neutral,0,Customer Service,False
How they treat customer on DMs.  take the actions if customers give the complaint.,how they treat customer on direct messages take the actions if customers give the complaint,Negative,-1,Customer Service,False
"Customer service, product quality and rates depending on type of cloth",customer service product quality and rates depending on type of cloth,Positive,1,Product Quality,False
Comments ,comments,Neutral,0,General Brand Perception,True
Research about produ9,research about product,Neutral,0,Product Quality,False
Quality ,quality,Positive,1,Product Quality,False
"The main reason for developing a positive or negative opinion about a local brand on social media is how they interact with their customers. A brand builds a positive image when they respond quickly, handle complaints with empathy, and share honest, helpful content. Conversely, they trigger a negative opinion if they ignore messages, delete critical comments, or post misleading advertisements, which immediately shatters consumer trust.",the main reason for developing a positive or negative opinion about a local brand on social media is how they interact with their customers a brand builds a positive image when they respond quickly handle complaints with empathy and share honest helpful content conversely they trigger a negative opinion if they ignore messages delete critical comments or post misleading advertisements which immediately shatters consumer trust,Negative,-1,Customer Service,False
Presentation ,presentation,Neutral,0,General Brand Perception,True
It's style,its style,Neutral,0,General Brand Perception,False
Delivery ,delivery,Neutral,0,Delivery & Reliability,False
Make me trust on brands,make me trust on brands,Positive,1,Social Proof & Reviews,False
Slow ,slow,Negative,-1,Delivery & Reliability,False
Its quality,its quality,Positive,1,Product Quality,False
Company strategy ,company strategy,Neutral,0,General Brand Perception,True
products value,products value,Neutral,0,Product Quality,False
You can say REVIEWS ,you can say reviews,Neutral,0,Social Proof & Reviews,False
Ohhh yesss,ohhh yesss,Neutral,0,General Brand Perception,True
Build a good opinion when a brand shows real care and honesty.,build a good opinion when a brand shows real care and honesty,Positive,3,General Brand Perception,False
Product quality ,product quality,Positive,1,Product Quality,False
Customer reviews,customer reviews,Neutral,0,Customer Service,False
Product Quality ,product quality,Positive,1,Product Quality,False
The product quality reviews,the product quality reviews,Positive,1,Product Quality,False
"Product quality, customer reviews, and good customer service influence my opinion about a local brand on social media",product quality customer reviews and good customer service influence my opinion about a local brand on social media,Positive,2,Customer Service,False
"

The main reason is **the quality and authenticity of the brand’s content and how it interacts with customers**. Positive reviews, genuine responses, transparency, and good customer service create a positive opinion, while negative reviews, misleading posts, poor responses, or lack of professionalism create a negative opinion.",the main reason is the quality and authenticity of the brands content and how it interacts with customers positive reviews genuine responses transparency and good customer service create a positive opinion while negative reviews misleading posts poor responses or lack of professionalism create a negative opinion,Positive,3,Product Quality,False
"The main reason is **the quality and authenticity of the brand’s content and how it interacts with customers**. Positive reviews, genuine responses, transparency, and good customer service create a positive opinion, while negative reviews, misleading posts, poor responses, or lack of professionalism create a negative opinion.
",the main reason is the quality and authenticity of the brands content and how it interacts with customers positive reviews genuine responses transparency and good customer service create a positive opinion while negative reviews misleading posts poor responses or lack of professionalism create a negative opinion,Positive,3,Product Quality,False
Very well,very well,Positive,1,General Brand Perception,False
"The authenticity of the brand, product quality, and how it responds to customers on social media",the authenticity of the brand product quality and how it responds to customers on social media,Positive,2,Product Quality,False
Yesssss ,yesssss,Neutral,0,General Brand Perception,True
It's product quality ,its product quality,Positive,1,Product Quality,False
Hh,hh,Neutral,0,General Brand Perception,True
"“Customer reviews, the quality of products/services, how the brand responds to customers, and the honesty and consistency of its social media content.”",customer reviews the quality of products services how the brand responds to customers and the honesty and consistency of its social media content,Positive,3,Customer Service,False
Hardwork and consistency ,hardwork and consistency,Positive,1,General Brand Perception,False
It's quality ,its quality,Positive,1,Product Quality,False
Customer Interactions (Focus on Service),customer interactions focus on service,Neutral,0,Customer Service,False
G,g,Neutral,0,General Brand Perception,True
The overall experience of customers. ,the overall experience of customers,Neutral,0,General Brand Perception,False
Product quality... reviews,product quality reviews,Positive,1,Product Quality,False
It's depend on the individuals what they have experienced.,its depend on the individuals what they have experienced,Neutral,0,General Brand Perception,False
"Comments, demonstrate, replies for complaints",comments demonstrate replies for complaints,Negative,-1,Customer Service,False
Social media and Brand reputation ,social media and brand reputation,Neutral,0,Social Proof & Reviews,False
Experience ,experience,Neutral,0,General Brand Perception,True
Quality ,quality,Positive,1,Product Quality,False
"A local brand’s social media reputation relies on how genuinely and quickly it interacts with customers prompt helpful communication builds trust while ignoring feedback or posting purely sales driven content destroys it
",a local brands social media reputation relies on how genuinely and quickly it interacts with customers prompt helpful communication builds trust while ignoring feedback or posting purely sales driven content destroys it,Positive,1,Customer Service,False
Positive,positive,Positive,1,General Brand Perception,False
Customer reviews ,customer reviews,Neutral,0,Customer Service,False
"The main reason is the brand’s authenticity and how it interacts with customers. Positive reviews, good-quality products/services, quick responses, and genuine customer feedback create a positive opinion, while poor quality, negative reviews, misleading promotions, or ignoring customer complaints create a negative opinion.",the main reason is the brands authenticity and how it interacts with customers positive reviews good quality products services quick responses and genuine customer feedback create a positive opinion while poor quality negative reviews misleading promotions or ignoring customer complaints create a negative opinion,Positive,2,Product Quality,False
"Product quality, customer reviews, and the brand’s responsiveness on social media are the main factors influencing my opinion.",product quality customer reviews and the brands responsiveness on social media are the main factors influencing my opinion,Positive,2,Product Quality,False
"1.  Product Quality
2.  Customer Service Experience
3.  Price and Value for Money
4.  Influencer / Celebrity Reviews
5.  Friends and Family Recommendations
6.  Brand's Response to Comments/Complaints
7.  Advertisements and Promotions",product quality customer service experience price and value for money influencer celebrity reviews friends and family recommendations brands response to comments complaints advertisements and promotions,Positive,1,Customer Service,False
Customer reviews/Complaints,customer reviews complaints,Negative,-1,Customer Service,False
about product quality & its service,about product quality its service,Positive,1,Product Quality,False
"Quality, Customer satisfaction ",quality customer satisfaction,Positive,2,Customer Service,False
Presentation ,presentation,Neutral,0,General Brand Perception,True
Customer reviews and comments ,customer reviews and comments,Neutral,0,Customer Service,False
How brand handle customer service and public feedback.,how brand handle customer service and public feedback,Neutral,0,Customer Service,False
Customer reviews,customer reviews,Neutral,0,Customer Service,False
Quality ,quality,Positive,1,Product Quality,False
"Product quality, customer reviews",product quality customer reviews,Positive,1,Product Quality,False
Online shopping ,online shopping,Neutral,0,General Brand Perception,True
To create public awareness ,to create public awareness,Neutral,0,General Brand Perception,True
